Botanical Name,Common Name,Family,Plant Type,Origin,Maintenance,Height,Width,Light,Bloom season,Water needs,Soil,Tolerant,Toxicity,Hardiness (USDA),Bloom color,Common Name,Synonyms,Genus,Type,Native Range,USDA Hardiness Zones,Mature Size,Bloom Time,Foliage,Propagation methods,Sun,Synonym,Blooms,Common Cultivars,Botanical name,Common Cultivars,Humidity,Cultivars,Common Varieties
Peperomia argyreia,,Piperaceae,,,,,,,,,"Medium Moisture, Well-Drained",,Non-Toxic,,,"Watermelon Peperomia, Watermelon Begonia",,Peperomia,Herbaceous perennial,Northern South America to Brazil,10 to 12,Height: 0.50-0.75 feet; Spread: 0.25-0.50 feet,Seasonal,Evergreen,"by seeds, by cuttings",Partial shade,Peperomia sandersii,,,,,,,
Cephalocereus senilis,,Cactaceae,,,,,,,,,Well-drained,,Non-Toxic,,,Old Man Cactus,"Cactus bradypus, Cactus senilis, Cephalophorus senilis, Cereus senilis, Echinocactus senilis, Echinocactus staplesiae, Pilocereus senilis",Cephalocereus,Cactus,Eastern Mexico (Hidalgo and Veracruz),9 to 11,Height: 10 to 50 feet; Spread: 6 to 12 inches,,Evergreen,"by seeds, by cuttings","Full sun, Bright shade",,Rarely Indoors,,,,,,
Aloe vera,"Barbados Aloe, Bitter Aloe, Aloe barbadensis",Asphodelaceae,Succulent,Arabian Peninsula,Low,1-2 feet,2-3 feet,Full sun,"Spring, Summer",Low,"Well-Drained, Loamy, Sandy","Deer, Drought, Salt",Toxic,10-12,"Yellow, Green",,,,,,,,,,,,,,,,,,,
Agave parryi var. huachucensis,"Huachuca Agave, Artichoke Agave",Asparagaceae,Succulent,"Arizona, Texas, New Mexico",Low,1-2 feet,4-5 feet,Full sun,Summer,Low,"Well-Drained, Loamy, Sandy","Deer, Drought",Mildly-toxic,8-12,"Red, Pink",,,,,,,,,,,,,,,,,,,
Dudleya cymosa,Canyon Liveforever,Crassulaceae,Succulent,"California, Oregon",Low,4-6 inches,4-6 inches,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Loamy",Drought,Non-toxic,6-10,,,,,,,,,,,,,,,,,,,,
Cleistocactus strausii,,Cactaceae,,,,,,,,,Well-drained,,Non-Toxic,,,"Silver Torch Cactus, Wooly Torch Cactus",Borzicactus strausii Cephalocereus strausii Cereus strausii Denmoza strausii Pilocereus strausii,Cleistocactus,Cactus,Bolivia,9a to 11b,Height: 3 to 10 feet; Spread: 3 to 6 feet,Summer,Evergreen,"by seeds, by cuttings",Full sun,,,,,,,,
Aporocactus flagelliformis,,Cactaceae,,,,,,,,,Well-drained,,,,,Rat Tail Cactus,"Aporocactus leptophis, Cactus flagelliformis, Cereus flagelliformis, Disocactus flagelliformis",Aporocactus,Succulent,Mexico and Central America,,Height: up to 4 Inches; Spread: 3 to 6 feet,"Spring, Summer",Evergreen,"by seeds, by stem cuttings",Full sun,,,,,,,,
Dudleya pulverulenta,Chalk Dudleya,Crassulaceae,Succulent,"California, Arizona, Nevada, Utah",Low,12-24 inches,12-24 inches,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Loamy",Drought,Non-toxic,9-12,,,,,,,,,,,,,,,,,,,,
Delosperma Hotcakes ‘Banana Blast’,"Delosperma Hotcakes ‘Banana Blast’, Banana Blast Ice Plant",Aizoaceae,Succulent,Garden Origin,Low,6-8 inches,10-12 inches,Full sun,"Summer, Autumn","Low, Moderate","Well-Drained, Loamy",Drought,non-toxic,6-10,,,,,,,,,,,,,,,,,,,,
Kalanchoe delagoensis,,Crassulaceae,,,,,,,,,"Dry, Well-drained",,Mildly Toxic,,,"Chandelier Plant, Mother of Millions",Bryophyllum delagoense,Kalanchoe,Succulent,Madagascar,10b to 11a,"Height: 4 feet, Spread: 2 feet",Winter,Evergreen,by plantlets,Full sun to Part shade,,,,,,,,
Neoregelia carolinae ‘Tricolor’,,Bromeliaceae,,,,,,,,,"Moist, Well–drained",,Non-Toxic,,,Blushing Bromeliad,,Neoregelia,Epiphyte,Garden Origin,10 to 11,Height: 0.75-1.50 feet; Spread: 0.75-1.50 feet,Summer,Evergreen,"by seed, by offsets",Part shade to full shade,,,,,,,,
Philodendron erubescens,Red-Leaf Philodendron,Araceae,Vine,Americas,Low,2-60 feet,4-6 inches ,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Loamy",,Toxic,10-11,,,,,,,,,,,,,,,,,,,,
Parodia mammulosa,,Cactaceae,,,,,,,,,Well-drained,,Non-Toxic,,,"Tom Thumb Cactus, Lemon Ball Cactus",Echinocactus mammulosus Malacocarpus mammulosus Notocactus mammulosusRitterocactus mammulosus,Parodia,Cactus,Brazil to Argentina,9b to 11b,up to 6 inches,Summer,Evergreen,"by seeds, by cuttings",Full sun,,,,,,,,
Cereus repandus,,Cactaceae,,,,,,,,,Well-drained,,Non-Toxic,,,"Peruvian Apple Cactus, Apple Cactus, Peruvian Cactus, Queen of the Night, Night Blooming Cereus",Cereus peruvianus,Cereus,Cactus,"Brazil, Paraguay, Uruguay, Argentina",9 to 11,Height: 20-50 feet; Spread: 11-15 feet,Summer,,"by cuttings, by offsets, by seeds",Full sun,,,,,,,,
Kalanchoe blossfeldiana,,Crassulaceae,,,,,,,,,"Moist, Well-drained",,,,,"Flaming Katy, Christmas kalanchoe, Florist kalanchoe, Madagascar widow’s thrill",Kalanchoe globulifera var. coccinea,Kalanchoe,Herbaceous perennial,Madagascar,10 to 12,Height: 0.5-1.5 feet; Spread: 0.5-1.5 feet,Spring,Evergreen,"by seeds, by offsets",Full sun to Part shade,,,,,,,,
Agave attenuata ‘Nova’,"Agave attenuata ‘Nova’, Agave Attentuata ‘Boutin Blue’, Blue Fox tail Agave",Asparagaceae,Succulent,Garden Origin,Low,3-5 feet,3-5 feet,"Full sun, Partial shade",Summer,Low,"Well-Drained, Loamy, Sandy","Deer, Drought, Salt",Mildly Toxic,8-12,"Yellow, Green",,,,,,,,,,,,,,,,,,,
Euphorbia milii,,Euphorbiaceae,,,,,,,,,Well-drained,,Moderately Toxic,,,"Crown of Thorns, Christ Plant, Christ Thorn",,Euphorbia,Broadleaf evergreen,Madagascar,9 to 11,Height: 3-6 feet; Spread: 1-3 feet,Seasonal,Evergreen,"by seeds, by tip cuttings",Full sun,,,Euphorbia milii var. splendens,,,,,
Euphorbia obesa,,Euphorbiaceae,,,,,,,,,Well-drained,,Mildly Toxic,,,"Baseball Plant, Gingham Golf Ball, Sea Urchin Plant",,Euphorbia,Succulent,South Africa (Graaff Reinet area),10 to 11,"Height: up to 8 inches, Spread: up to 4 inches",Summer,Evergreen,"by seeds, by cuttings",Full sun,,,,,,,,
Epipremnum aureum ‘HANSOTI14’,"Manjula Pothos, Happy Leaf Pothos",Araceae,Evergreen Vine,Australia ,Low,6 feet,2-3 feet,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Loamy",Drought,Toxic,11-12,,,,,,,,,,,,,,,,,,,,
Kalanchoe daigremontiana,,Crassulaceae,,,,,,,,,Well-drained,,Moderately Toxic,,,"Mother of Thousands Plant, Devil’s backbone, Mexican Hat Plant",Bryophyllum daigremontianum,Kalanchoe,Succulent,Madagascar,9 to 11,3 feet,Winter,Evergreen,"by offsets, by cuttings",Full sun to partial shade,,,,,,,,
Cotyledon orbiculata,,Crassulaceae,,,,,,,,,Well-drained,,Moderately Toxic,,,"Pig’s Ear, Round-Leafed Navel-Wort",Cotyledon elata Cotyledon ovata Cotyledon ramosaCotyledon oblonga,Cotyledon,Succulent,South Africa,9a to 11b,Height: 2-4 feet; Spread: up to 1 foot,"Summer, Autumn",Evergreen,"by seeds, by cuttings",Full sun,,,,,,,,
Agave chrysantha,Golden-Flowered Century Plant,Asparagaceae,Succulent,Arizona,Low,2-3 feet,4-5 feet,"Full sun, Partial shade",Summer,Low,"Well-Drained, Loamy, Sandy","Deer, Drought, Salt",Mildly-toxic,,"Yellow, Gold",,,,,,,,,,,,,,,,,,,
Philodendron cordatum,,Araceae,Vine,Southeast Brazil,Low,6 feet,8 feet ,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Loamy",,Toxic,9-11,,,,,,,,,,,,,,,,,,,,
Aloe arborescens ,"Torch Aloe, Krantz Aloe, Candelabra Aloe",Asphodelaceae,Succulent,South Africa,Low,6-10 feet,6-10 feet,Full sun,Winter,Low,"Well-Drained, Loamy, Sandy","Deer, Drought, Salt",non-toxic,9-11,"Orange, red",,,,,,,,,,,,,,,,,,,
Astrophytum myriostigma,,Cactaceae,,,,,,,,,"Dry, Well-drained",,Non-Toxic,,,"Bishop’s Cap, Bishop’s Hat, Monk’s Hood, Deacons Hat, Bishop’s Hood, Miter Cactus","Astrophytum prismaticum, Cereus callicoche, Echinocactus myriostigma",Astrophytum,Cactus,"Central, Northern Mexico",10 to 11,Height: 0.25 to 2.00 feet; Spread: 0.25 to 0.75 feet,"Spring, Summer",Evergreen,by seeds,Full sun to Partial shade,,,"Onzuka, Ball Nudum Lightning, Dragon, Fire Works, Dragon Hekiran, Fjordhest, Hubuki, Kikko, Spiral Ribs",,,,,
Beschorneria yuccoides,Mexican Lily,Asparagaceae,Succulent,Mexico,Low,3-7 feet,3-4 feet,"Full sun, Partial shade","Spring, Summer",Low,"Well-Drained, Loamy, Sandy",Drought,non-toxic,8-11,"Green, Red",,,,,,,,,,,,,,,,,,,
Aloe aristata,"Torch Plant, Lace aloe",Asphodelaceae,Succulent,"South Africa, Lesotho",Low,0-1 feet,0-1 feet,"Full sun, Partial shade",Winter,Low,"Well-Drained, Loamy, Sandy","Deer, Drought",Mildly-toxic,8-12,"Orange, Red",,,,,,,,,,,,,,,,,,,
Crassula capitella ‘Campfire’,Crassula Campfire,Crassulaceae,Succulent,Garden Origin,Low,up to 6 inches,up to 36 inches,"Full sun, Partial shade",Summer,Low,"Well-Drained, Loamy, Sandy","Deer, Drought",Toxic,9-12,White,,,,,,,,,,,,,,,,,,,
Mammillaria,,Cactaceae,,,,,,,,,Well-Drained,,Non-Toxic,,,Pincushion Cactus,"Ebnerella, Haagea, Lactomammillaria, Mammariella, Neomammillaria",,Cactus,"Mexico, Southwestern United States, South America, Caribbean",,,,Evergreen,"by seeds, by offsets",Full sun to Partial shade,,,,,,,,
Scindapsus Pictus ‘Silvery Ann’,Silvery Ann Pothos,Araceae,Evergreen Vine,Garden Origin,Low,6 feet,2-3 feet,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Loamy",Drought,Toxic,9-11,,,,,,,,,,,,,,,,,,,,
"Philodendron bipinnatifidum, Thaumatophyllum bipinnatifidum, Philodendron selloum",Tree Philodendron,Araceae,Flowering,South America,Low,6 feet,8 feet ,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Loamy",,Toxic,9-11,,,,,,,,,,,,,,,,,,,,
Graptopetalum paraguayense,,Crassulaceae,,,,,,,,,Well-drained,,Non-Toxic,,,"Ghost Plant, Mother of Pearl Plant","Byrnesia weinbergii, Cotyledon paraguayensis, Echeveria weinbergii, Sedum weinbergii",Graptopetalum,Succulent,Mexico,9a to 11b,"Height: around 12 inches, Spread: 3 feet",Random,Evergreen,"by cuttings, by offsets",Full sun or light shade,,,,,,,,
Echeveria lilacina,Ghost Echeveria,Crassulaceae,Succulent,Mexico,Low,6 inches,6-10 inches,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Loamy",Drought,Non-toxic,9-12,,,,,,,,,,,,,,,,,,,,
Agave ,Plant,Asparagaceae,Succulent,"California, Nevada, Utah, Arizona",Low,1-2 feet,1-3 feet,"Full sun, Partial shade",Summer,Low,"Well-Drained, Loamy, Sandy","Deer, Drought, Rabbit",Mildly-toxic,6-10,"Yellow, Gold",,,,,,,,,,,,,,,,,,,
Gonialoe variegata,,Asphodelaceae,,,,,,,,,Well-drained,,Non-Toxic,,,"Tiger Aloe, Partridge-breasted Aloe",Aloe variegata,Gonialoe,Succulent,"South Africa, Namibia",9 to 11,"up to 25 inches tall, up to 12 inches wide",Summer,Evergreen,"by seeds, by offsets",Full sun to Partial shade,,,,,,,,
Dracaena trifasciata,,Asparagaceae,,,,,,,,,Well-drained,,Mildly Toxic,,,"Snake Plant, Golden Bird’s Nest, Mother-in-Law’s Tongue, Good Luck Plant","Sansevieria aureovariegata, Sansevieria jacquinii, Sansevieria laurentii, Sansevieria trifasciata",Dracaena,Herbaceous perennial,Tropical West Africa,10 to 12,Height: 2-4 feet; Spread: 1-2 feet,Spring (rarely flowers indoors),Evergreen,"by leaf cuttings, by suckers, by division",Partial Shade,,,"Hahnii, Laurentii, Silver Queen, Compacta, Goldiana",,,,,
Disocactus ackermannii,,Cactaceae,,,,,,,,,Well-drained,,Non-Toxic,,,"Orchid Cactus, Pond Lily Cactus","Cereus ackermannii,Epiphyllum ackermannii, Heliocereus ackermannii, Nopalxochia ackermannii, Phyllocactus ackermannii",Disocactus,Cactus,Mexico,10 to 11,"Height: up to 30 cm, Spread: up to 60 cm",Spring,Evergreen,"by cuttings, by grafting, by seeds",Partial shade,,,,,,,,
,,Marantaceae,,,,,,,,,"Moist, Well-Drained, Fertile & Loamy",,None,,,"Rose Painted Calathea, Black Rose, Jungle rose","Calathea illustris, Maranta illustris, Maranta roseopicta, Maranta wagneri, Phyllodes roseopicta",Calathea,Herbaceous perennial,Western South America to Western Brazil,11 to 12,Height: 1-1.5 feet; Spread: 0.75-1 feet,Seasonal bloomer,"Colorful, Evergreen",Division,Part shade to full shade,,,, Calathea Roseopicta ,"Concinna, Corona, Cynthia, Eclipse, Maria, Medallion, Roseapicta, Silhouette, Picta Royale",,,
Ferocactus cylindraceus,,Cactaceae,,,,,,,,,Well-drained,,Non-Toxic,,,"Compass Barrel Cactus, California Barrel Cactus, Desert Barrel Cactus",Ferocactus acanthodes,Ferocactus,Cactus,"Southwestern United States, Northwestern Mexico",9 to 11,Up to 6.6 feet (2m),Summer,Evergreen,by seeds,Full sun,,,,,,,,
Epipremnum aureum ‘Neon’ ,Neon Pothos,Araceae,Evergreen Vine,Australia,Low,10 feet,2-3 feet,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Loamy",Drought,Toxic,11-12,,,,,,,,,,,,,,,,,,,,
,Echeveria ‘Lady Aquarius’,Crassulaceae,Succulent,"Texas, Mexico, Central and South America",Low,8 inches,8 inches,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Loamy",Drought,Non-toxic,9-12,,,,,,,,,,,,,,,,,,,,
"Delosperma cooperi ‘Kelaidis,’ Delosperma ‘Mesa Verda’",Delosperma ‘Kelaidis’,Aizoaceae,Succulent,Garden Origin,Low,3-6 inches,1-2 feet,Full sun,"Spring (Late), Summer, Autumn, Winter (Early)","Low, Moderate","Well-Drained, Loamy",Drought,non-toxic,4-8,,,,,,,,,,,,,,,,,,,,
Echeveria elegans,,Crassulaceae,,,,,,,,,"Occasionally dry, Well-drained",,Non-Toxic,,,"Mexican Gem, Mexican Hens and Chicks, Mexican Snow Ball, White Mexican Rose","Echeveria potosina, Echeveria albicans",Echeveria,Succulent Perennial,Northeastern Mexico,9 to 11,"Height: 10 cm, Width 50 cm","Spring, Winter",Evergreen,"by division, by seeds, by cuttings",Full Sun to Partial Shade,,,,,,,,
Philodendron melanochrysum,Black-Gold Philodendron,Araceae,Vine,South America,Low,3-5 feet,1-2 feet ,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Loamy",,Toxic,9-11,,,,,,,,,,,,,,,,,,,,
Crassula ovata ‘Hummel’s Sunset’,Golden Jade Tree,Crassulaceae,Succulent,"Eastern Cape Province, South Africa",Low,1-3 feet,1-2 feet,"Bright, Indirect Light","Spring, Summer",Low,Well-Drained,"Drought, Dry soil",Toxic,9-12,,,,,,,,,,,,,,,,,,,,
Aloe hereroensis,Sand Aloe,Asphodelaceae,Succulent,South West Africa,Low,1-2 feet,1-2 feet,Full sun,,Low,"Well-Drained, Loamy, Sandy","Deer, Drought",non-toxic,9-11,Red (rarely yellow),,,,,,,,,,,,,,,,,,,
Parodia haselbergii,,Cactaceae,,,,,,,,,Well-drained,,Non-Toxic,,,Scarlet Ball Cactus,"Notocactus haselbergii, Brasilicactus haselbergii",Parodia,Cactus,Brazil,,Height: 10 cm; Spread: 15 cm,"Late Winter, Early Spring",Evergreen,"by seeds, by division",Full sun to Part shade,,,,,,,,
Dasylirion Acrotrichum ,Green Desert Spoon,Asparagaceae,"Cactus – Succulents, Shrubs",Mexico ,Low,5 – 6 feet,5 – 6 feet,Direct sunlight,Summer,Low,"Well-Drained, Loamy",Drought,Non-Toxic,8-10,,,,,,,,,,,,,,,,,,,,
 Epipremnum aureum ‘Hawaiian’,Hawaiian Pothos,Araceae,Evergreen Vine,French Polynesia,Low,2-3 feet,,"Bright, Indirect Light",Spring (Rare),"Low, Moderate","Well-Drained, Loamy",Drought,Toxic,11-12,,,,,,,,,,,,,,,,,,50-70%,,
Agave ‘Blue Flame’,Blue Flame Agave,Asparagaceae,Succulent,Garden Origin,Low,2-3 feet,3-4 feet,"Full sun, Partial shade",Summer,Low,"Well-Drained, Loamy, Sandy","Deer, Drought, Salt",Mildly-toxic,8-11,Yellow,,,,,,,,,,,,,,,,,,,
Phoenix roebelenii,,Arecaceae,,,,,,,,,"Moist, Well–drained",,Non-toxic,,,"Dwarf Date Palm, Miniature Date Palm, Pygmy Date Palm, Robellini Palm",,Phoenix,Deciduous Palm Tree,"China, Laos, Northern Vietnam",10 to 11,Height: 6-12 feet; Spread: 5-10 feet,Summer,Evergreen,by seeds,Full sun to part shade,,,,,,,,
Rebutia,,Cactaceae,,,,,,,,,Well-drained,,Non-Toxic,,,Crown Cactus,,,Cactus,"Bolivia, Argentina",,,,Evergreen,"by seeds, by offsets",Full sun to Partial shade,,,,,,,,
Aloe dorotheae,Sunset Aloe,Asphodelaceae,Succulent,Tanzania,Low,0-1 feet,1-2 feet,"Full sun, Partial sun",Winter,Low,"Well-Drained, Loamy, Sandy","Deer, Drought",non-toxic,10-11,Greenish-Yellow,,,,,,,,,,,,,,,,,,,
Echeveria setosa,,Crassulaceae,,,,,,,,,Well-drained,,Mildly Toxic,,,"Mexican Firecracker, Firecracker Plant, Hens and Chicks",,Echeveria,Succulent,Mexico,9 to 11,Height: up to 2 inches; Spread: up to 12 inches,"Spring, Summer",Evergreen,"by cuttings, by offsets",Full sun to Part shade,,,,,,,,
Gymnocalycium mihanovichii,,Cactaceae,,,,,,,,,Well-drained,,Non-Toxic,,,"Moon Cactus, Ruby Ball Cactus, Red Cap Cactus, Red Hibotan, Red Cactus","Echinocactus mihanovichii, Gymnocalycium friedrichii",Gymnocalycium,Cactus,"Paraguay, Northeast Argentina",,,,Evergreen,"Regrafting, Offsets",Full sun to partial shade,,,,,,,,
Vriesea splendens,,Bromeliaceae,,,,,,,,,"Dry, Good Drainage",,Non-Toxic,,,"Flaming Sword Bromeliad, Vriesea","Lutheria splendens, Tillandsia splendens, Vriesea speciosa, Tillandsia speciosa, Tillandsia appuniana, Tillandsia picta",Vriesea,Epiphyte,"Trinidad, eastern Venezuela, and the Guianas",10 to 12,Height: 2.5-3 feet; Spread: 1.5-2 feet,Summer,Evergreen,"by seeds, by offsets",Partial shade,,,,,,,,
Ananas comosus var. variegatus,,Bromeliaceae,,,,,,,,,Good Drainage,,Low,,,"Ivory Pineapple, Variegated Pineapple",Ananas striatifolius,Ananas,Bromeliad,Tropical Americas,10 to 12,Height: 2-3 feet; Spread: 2-4 feet,Summer,Evergreen,by offsets,Full sun,,,,,,,,
,Echeveria ‘Imbricata’,Crassulaceae,Succulent,Mexico,Low,4-8 inches,4-6 inches,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Loamy",Drought,Non-toxic,9-12,,,,,,,,,,,,,,,,,,,,
Delosperma cooperi ‘Jewel of the Desert Moonstone’,Delosperma ‘Jewel of the Desert Moonstone’,Aizoaceae,Succulent,Garden Origin,Low,4-6 inches,8-10 inches,Full sun,"Spring (Late), Summer, Autumn, Winter (Early)","Low, Moderate","Well-Drained, Loamy",Drought,non-toxic,5-10,,,,,,,,,,,,,,,,,,,,
Epipremnum aureum ‘Pearls and Jade’,Pearls and Jade Pothos,Araceae,Evergreen Vine,South Pacific,Low,6-10 feet,2-3 feet,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Slightly Moist",,Toxic,9-12,,,,,,,,,,,,,,,,,,,,
Clivia miniata,,Amaryllidaceae,,,,,,,,,"Dry or Moist, Well Drained",,Mildly Toxic,,,"Bush Lily, Natal Lily, Kaffir Lily",,Clivia,Herbaceous perennial,"South Africa, Swaziland",9 to 11,Height: 1-2 feet; Spread: 2-3 feet,Seasonal bloomer,Evergreen,"by seed, by division",Part shade or Deep shade,,,,,"Debutante, Fireworks, Sunrise, Aurea, Citrina, Kirstenbosch Splendour",,,
Dudleya farinosa,"Bluff Lettuce, Powdery Liveforever",Crassulaceae,Succulent,California,Low,4-9 inches,8-12 inches,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Loamy",Drought,Non-toxic,9-11,,,,,,,,,,,,,,,,,,,,
,Delosperma ‘Jewel of the Desert Garnet’,Aizoaceae,Succulent,Garden Origin,Low,4-6 inches,8-10 inches,Full sun,"Spring, Summer, Fall, Winter (Early)","Low, Moderate","Well-Drained, Loamy",Drought,Non-Toxic,5-10,,,,,,,,,,,,,,,,,,,,
Agave franzosinii ,Majestic Agave,Asparagaceae,Succulent,Mexico,Low,6-8 feet,8-10 feet,Full sun,Summer,Low,"Well-Drained, Loamy, Sandy","Deer, Drought, Salt",Mildly-toxic,8-11,Yellow,,,,,,,,,,,,,,,,,,,
Cylindropuntia Bigelovii ,Teddybear Cholla,Cactaceae,Cactus – Succulent,Southwestern United States,Low,3 – 8 feet,3 – 8 feet,Direct sunlight,"Spring, Summer",Low,Well-Drained,Drought,Non-Toxic,9-11,,,,,,,,,,,,,,,,,,,,
Glottiphyllum linguiforme,,Aizoaceae,,,,,,,,,Well-drained,,Non-Toxic,,,Tongue Leaf Plant,Mesembryanthemum linguiforme,Glottiphyllum,Succulent,South Africa (Cape Province),,"Height: 6 cm, Spread: 30 cm",Summer,Evergreen,"by seeds, by cuttings",Full Sun,,,,,,,,
Echeveria pulidonis,Pulido’s Echeveria,Crassulaceae,Succulent,Mexico,Low,6-8 inches,6-8 inches,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Loamy",Drought,Non-toxic,9-12,,,,,,,,,,,,,,,,,,,,
Pachyphytum oviferum,,Crassulaceae,,,,,,,,,Well-drained,,Non-Toxic,,,"Moonstone Succulent, Sugar Almond Plant, Pearly Moonstones",,Pachyphytum,Succulent,Mexico,10a to 11b,Height: 4 inches; Spread: 12 inches,Spring,Evergreen,"by cuttings, by seeds",Full sun to part shade,,,,,,,,
Philodendron hederaceum var. hederaceum,"Philodendron micans, Velvet-Leaf Philodendron",Araceae,Vine,Americas,Low,8 inches,24 inches,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Loamy",,Toxic,10-11,,,,,,,,,,,,,,,,,,,,
,Echeveria ‘Afterglow’,Crassulaceae,Succulent,"Mexico, Americas",Low,12-24 inches,12-24 inches,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Loamy",Drought,Non-toxic,9-12,,,,,,,,,,,,,,,,,,,,
Echeveria ‘Arlie Wright’,,Crassulaceae,Succulent,"Mexico, South America",Low,4 inches,4 inches,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Loamy",Drought,Non-toxic,9-12,,,,,,,,,,,,,,,,,,,,
Agave parryi var. truncata,Artichoke Agave,Asparagaceae,Succulent,"Arizona, Texas, New Mexico",Low,1-2 feet,2-3 feet,Full sun,Summer,Low,"Well-Drained, Loamy, Sandy","Deer, Drought",Mildly-toxic,8-12,"Yellow, Orange",,,,,,,,,,,,,,,,,,,
