Origin,Max Growth (approx),Poisonous for pets,Temperature,Light,Watering,Soil,Re-Potting,Fertilizer,Humidity,Propagation,Common Problems,Common Name,Botanical Name
East Asia.,"Height 3ft, width 2ft.",Not known.,Average warmth is fine of approximately 60-75°F (15-24°C) and no lower than 45°F (8°C).,"A lover of bright light, not direct sunlight (or at least not much).","Water when the soil begins losing its moisture to the touch, and naturally, reduce watering during winter.",Feed with a balanced fertilizer once a month from spring – to fall and then maybe once every other month after.,Re-pot only when needed (spring). When it becomes pot bound move the plant to a pot the next size up.,"Water when the soil begins losing it’s moisture to the touch, and naturally, reduce watering during winter.",Average house humidity is advised. Misting leaves will improve humidity during the summer months.,This plant can be propagated by seeds (early spring) or stem cuttings (during spring a summer).,"Plants that are too hot will refuse to produce berries, even after producing flowers. Exposure to excessive sunlight will cause the leaves to burn and the berries to shrivel.","Coral berry, christmas berry, coral ardisia", Ardisia crenata (botanical/scientific).
Central and South America.,12 – 24in tall.,"Non toxic for cats, dogs and horses.",They do well in temperatures varying from 55 degrees at night up to 90 degrees in the day. You can safely put your orchid outside during the summer months. A drop in temperature during the evening is required.,"Orchids don’t like direct sunlight as it can damage the leaves. The best is medium or filtered light and a room on the southern, eastern or western side. Morning direct sun is fine but not afternoon summer direct sunlight. You can go down the artificial lighting route if required and this is what many professional growers do.","Cattleyas like to dry out between the waterings. The established plants should be watered from a week to ten days, and young plants from five to seven days. To make sure you are doing the best you can, you can place the pot in a bowl of water for 10-15 minutes – this works the best for the plants in clay pots. If your orchid is planted in a plastic pot, put it in an empty bowl and slowly add water. Keep it there for 10-15 minutes. In both cases you can also put the plant in a sink and use tepid water for a minute or so.","They do well in soiless mixtures, for example bark, rocks, or perlite (their roots need air) . They are epiphytes in their natural habitat meaning they cling to trees and rocks without soil. Wet soil for a period of time will kill these plants.",,Any balanced orchid fertilizer is good. Use it weekly.,Around 40% – 70%. Place the pot on pebbles in water to create more humidity from the water evaporating from the pebble tray.,"Propagate in spring, after blooming period. This is done by dividing the plant and there should be at least three shoots on each division.",,Corsage Orchid, Cattleya Orchid (botanical/scientific)
"Middle East, Greek Islands, and elsewhere.",12 inches tall,Toxic to cats and dogs.,,,,,,,,,,"Cylamen, florist cyclamen", — C. Cyclamen (botanical/scientific).
Brazil.,Height 1 – 2ft.,Non-toxic to cats and dogs.,"It likes humidity and warmth. Not lower than 60ºF (16ºC). It will do well in a room temperature as long as there is a high level of humidity. The temperature in the room must be stable, and not change much.","A bright room, but no direct sunlight as that can make the color of the leaves fade away.","Eternal flame likes to have an even amount of water. It is especially important during the summer months, when it is warmer. It all depends on the type of compost you use. Check the label first.",The best for potting the Calathea Crocata is soil based potting compost with some peat moss (around 25%). Remember to allow the water to drain easily.,The best time for this is late June.,"Standard liquid fertilizer, used every two weeks, during the growing period.",High. It is best to mist the plant every day with room temperature water. If it does not have enough humidity the color of the leaves will be spoiled by brown spots.,"Propagate (division) in late June. The new plants need to have some leaves and sturdy roots. Plant 5-8cm deep, keep the soil moist and temperature around 18º C.",,Eternal Flame, Calathea Crocata (botanical/scientific).
Brazil.,12in tall.,Toxic to cats and dogs.,Temperature: Between 60 – 70°F (15 – 21°C) “no higher than 75°F – 24°C” seems to be the ideal temperatures during the day and no lower than about 55°F (13°C) during the night.,"A good shaded spot within the home from direct sunlight is ideal. Sat back from a window in a bright room is suitable, but if the room is more north facing, place much closer to the window.","One of the worst things you can do with bulbs is over-water, which rots the bulb. Allowing the soil to begin to dry at the top is a good measurement of when to water again. Remember to stop watering if the plant becomes dormant.","Most potting mixes that drain well, which are also well aerated will do the trick.","You may want to re-pot your plant once every 1 – 2 years (during dormancy period) and use the same pot or move up a size bigger, unless your removing offsets which reduces the size of the plant “or keeps it to the same size”.",A diluted liquid fertilizer is helpful to use during the growing period. Feed once every 1 or 2 weeks. No feeding is required during dormancy.,Average room humidity is fine.,If you want to propagate your oxalis triangularis you’ll find it’s best to do this towards the end of it’s dormant period (I would do this after 2 weeks of dormancy to be sure of timing). The bulb will have to be removed from the pot and then you may remove the small bulb offsets which are re-potted to produce new plants. Be patient with the new plants and expect them to appear a little later than the main plant.,,"False shamrock, purple sharock, wood sorrel", — Oxalis Triangularis [Syn. Oxalis regnellii] (botanical/scientific).
Central and South America.,12 – 18 inches in height.,Toxic to cats and dogs.,"Average room temperatures from 65°F/18.3°C – 75°F/23.8°C (maybe a little higher and not below 60°F/15.5°C). Lower temperatures will affect it’s leaves (may turn yellow), impede it’s growth and flowering.",The flamingo flower is a lover of light – but not direct sunlight.,Keeping the soil moist at all times within the summer is advisable. Water every couple of days and less in the winter.,"A good draining soil is best suited, such as a peat moss based potting soil and perlite.","These are re-potted within spring usually every 2 years, or when they become pot-bound.",,"The flamingo loves being misted with a light spray of lukewarm water, regulary. Cleaning lightly with a gentle sponge is advised, which improves humidity – and makes it look healthy.",Propagate by dividing the plant when you decide to re-pot in spring. Having a good temperature above 75°F/23.8°C for the first few weeks will give the plant a great start in life.,,"Flamingo flower, pigtail plant", — Anthurium scherzerianum (botanical/scientific).
South America.,"Height 18 in/45 cm, diameter 10 in/25 cm.",Non-Toxic to cats and dogs.,To bring them in to flower you may need to keep the temperature up to around 75°f / 24°c and then average room temperatures above 65°f / 18.3°c at any other time.,Bright light without direct sunlight is preferable.,"The vase needs to be kept topped up with water which should be emptied and replaced every two-three weeks The soil is best watered when it becomes slightly dry at the top, and avoid over-watering. Using a pot that has sufficient drainage holes is advised.",A peat-based potting mix is fine – as long as it drains well.,These should not need re-potting if they have matured. Smaller urn plants may need a slightly bigger container to give the roots more room for growth.,"Feeding with a liquid diluted fertilizer from May – September is ideal, once every 4 weeks. They can also be mist sprayed with a foliar fertilizer to provide the foliage with nutrients.","Normal humidity indoors should be fine, and misting the plant leaves will help too.","These are easily propagated after the offsets have grown over 5 inches tall, and are a few months old. They need to be separated from the container they have been growing inside with roots attached and then placed into a suitable-sized container with a moist soil mix.",,Flaming Sword, Vriesea splendens (botanical/scientific).
South America.,Height 5 ft or more.,Not known.,They thrive in summer conditions and prefer temperature’s from 60°F-15.5°C/ 80°F-26.6°C . Avoid lower than 50°F/10°C in the winter.,As mentioned above these love sunshine and bright rooms near windows. The maple will also thank you for taking it outside in the summer.,"The flowering maple likes to be watered frequently throughout spring and summer and a lot less in the winter. Do check the top of the soil (just about dry is good) and the bottom of the tray or pot to make sure your not over-watering it, although this is rarely a problem.","An all-purpose potting mix will do the trick, as they are not so fussy.",Re-pot the maple within spring in a pot that is only slightly bigger than it’s roots. A pot too large will allow this sneaky shrub to grow much bigger than you may like.,,Humidity is not a major concern for these. Misting the leaves every so often is a good idea.,Propagate taking stem cuttings (3″-4″) or sowing seeds in spring that germinate (sprout) in approx 3 weeks.,,"F. maple,", — Abutilon hybridum (botanical/scientific).
South Africa.,18 inches in height.,Toxic to cats and dogs.,Temperatures from cool to average room 60°F/15.5°C – 75°F/23.8°C are best suited. The resting period needed within the winter needs the temperature to be much cooler – at 40°F/4.5°C – 50°F/10°C.,Bright light is best (it can also be fine with less) and avoid direct sunlight.,"Keeping the soil fairly moist (to touch) within summer is advisable. Water sparingly in wintertime and allow the soil to become quite dry, for about two months (this may encourage an early bloom).",A good organic soil that drains well is ideal to use.,"Keeping the soil fairly moist (to touch) within summer is advisable. Water sparingly at wintertime and allow the soil to become quite dry, for about two months (this may encourage an early bloom).",,If the temperature is correct there will be no need for concern about the humidity. Sponging the leaves gently will help. Stuffy rooms with central heating should be avoided.,"These are propagated through division (from the parent plant and roots attached) or seeds. Propagating should be done after flowering, with great care taken when dividing them.",,"Kaffir, Crimson Flag and bush lily",— Clivia miniata (botanical/scientific).
Native to Central and South America.,"Height 1 – 2ft indoors, outdoors 4ft. Spread 2 – 3ft.",Not known.,"Average room temperatures of around 65°f / 16°c — 75°f are ideal, and no lower than 55°f 12.7°c, during winter. You can allow the plant some time outdoors during summer, not in direct sun.","Any area indoors that has plenty of daylight, but not direct sunlight.","Soil should have moisture at all times, but not saturated. Less water in the winter.",A decent fast draining potting soil mix with organic matter will suffice.," Re-pot during spring each year. If not each year, then at least when the roots start to grow from the pot drainage holes.  Outdoors zone 10a-11b.",,The golden shrimp enjoys misting (summertime).,These are easy enough to propagate with stem cuttings between spring and summer. Cut about 4 inches of stem and dip them in rooting hormone before planting in potting soil.,,Lollipop and golden shrimp plant, Pachystachys Lutea (botanical/scientific).
Central and South America.,18in tall.,Non-toxic to cats and dogs.,The Lycaste Orchid likes a warm temperature of between 60 – 85°F (15.5 – 30°C) whilst the evening temperature should be around 55 – 60°F (13 – 15.5°C).,It is recommended that light is filtered indirectly as direct sun could cause the leaves to burn whilst not enough light will cause a reduction in the number of flowers that bloom. The leaves should remain a bright green.,"As the Lycaste Orchid should be grown in a sphagnum moss or even a mixture of fir bark and perlite it should be kept moist as the roots could die. For the more mature plants they should near dryness, especially from the time of blooming until new growth emerges. The group of deciduous Lycaste should dry out a little more.",These orchids prefer a soil that consists of Sphagnum moss or fine fir bark and perlite. Including peat in the soil mixture will aid the retention of water.,Re-potting should take place each year following bloom when the plant’s new growth is around 3-6 inches in height. This is usually done during the early spring through to the early summer but it should not take place during the warm summer months. Before potting ensure that the old potting mix is removed from the roots whilst also removing dead roots.,These plants should be given a fertilizer that is balanced at half strength during every other watering.,"This is something an Orchid most definitely craves, Humidity. Ideal levels are between 60 – 80%. Misting the leaves will help improve the humidity. Too much can cause mold on leaves though.","Following the flowering of the plant, divide an offshoot that has a good root system and pot each one individually.",,Lycaste (genus).,
Madagascar,10ft tall and more.,Non-toxic to cats and dogs,,,,,,,,,,Madagascar Jasmine – Wax Flower, — Stephanotis Floribunda (botanical/scientific).
"Central America, Mexico.",Height 6in (15cm).,Not known..,"Average to high temperatures help the Caput Medusae to flower, from 65° – 86°F (18°- 30 °C). Keep the minimum no lower than 55°F (°12C) indoors or outside.","Bright conditions with shade is ideal. Some direct sunlight seems to be fine, but not all day and scorching hot. Some morning or evening sun, with shade at other times is great.","Water by misting with a sprayer frequently during the summer, but do not allow the bulbous to get very wet and remain that way, otherwise this may cause the base to rot. Allow the plant to dry out then give it a good misting again, which could be once a day depending on the climate and weather conditions you have. Winter much less. You can also give the plant a good soak with a watering can once a month, without allowing the bulbous to become waterlogged, using distilled or filtered tepid water.",,,"While misting the Medusa’s head plant you can add a weak diluted fertilizer from spring – summer, twice a month.","Because the caput is an air-plant it likes quite humid conditions. It does not like dry artificial heat, so if you bump up your heating during the winter remember to provide your plant with enough air and water spray.","Propagate by removing offsets (pups) and provide the plant with it’s own mount, whatever time of year .",,Medusa Plant, — Tillandsia Caput Medusae (botanical/scientific).
"Southeast Asia, Taiwan, Australia and elsewhere.",Height 3ft.,Non-toxic to cats and dogs.,"Phals like their warmth during the day and cool during the night. Room temperatures of around 65 – 85°F (16 – 24°C) during the day and 60 – 65°F ( 16 – 18°C) at night, are ideal growing conditions.","Providing enough light can be a problem for some growers because the moth orchid prefers bright light conditions for more than 10 hours a day. An east or west facing window is best suited – away from direct sun, but bright. During the winter you may have to supplement the plant with artificial lighting. See the guide here about lighting.","Once the orchid soil becomes dry to the touch, water thoroughly. Avoid allowing water to keep the soil soaked; you want it to drain away easily. Avoid watering the middle of the plants foliage (crown) because the water sitting here for a period of time may cause rot. Do not over-water!","Using an orchid potting mix is a good idea. A mix is likely to contain peat moss, perlite and fir bark or another combination, if it drains well. This soil needs to replaced every two years.","The potting mix used for phals needs to be changed at least once every 2 years, during spring. The potting mix will start to become a problem for the plant when it becomes old and deteriorates. I would re-pot in a pot similar to the size of the roots and pot it’s already growing in, then remove unsavoury roots whilst re-potting. The roots that were sitting on the top of the soil need to be placed back in that position and not buried.","Feed from spring until fall with a diluted orchid liquid fertilizer, once every 1 – 2 weeks.",Avoid placing your plant in a room with dry air from artificial heating without supplementing humidity levels from a humidity tray (or other means). Orchids in their natural habitat thrive in high humidity conditions. Mist the leaves.,"The orchid can be propagated by division, which is a good idea when the plants roots have matured. Divide the mature plant during re-potting time. Another method is called keiki which is a baby plant produced by the mother plant growing from the node. Some growers will use a keiki hormone paste to encourage and force the mother plant to produce a baby plant.",,"Moth orchid, Phal", Phalaenopsis (botanical/scientific).
South America.,1½ ft tall.,Toxic to cats and dogs.,"Cool temperatures from 55°F/13°C – 65°F/18°C are ideal during the night and 70°F/21°C – 80°F/26°C, during the day. Avoid lower than 55°F/13°C.","A lover of bright light and some sunshine (2 -3 hrs), close to an east or west-facing window.",The capsicum likes its soil to be moist at all times. A thorough watering is required but remove excess water from the bottom of the plant tray after.,A potting soil mix that drains well and can retain some water is ideal.,Repot every 2 years or when the current pot is too small for your plant.,Feed every two weeks with a diluted liquid fertilizer while the plant is flowering and fruiting.,Average room humidity is fine but avoids too much dry air.,"Seeds are usually sown during spring, then plants should have grown enough to be potted after approximately 8 weeks.",,Christmas and ornamental pepper plant, — Capiscum annuum (botanical/scientific).
South America.,Height 18-24 in. (45-60 cm).,Toxic to cats and dogs.,Average room temperature’s are fine. Avoid lower than 55°F/12°C in the winter.,"As mentioned above they like light, however, direct sunshine can damage plant leaves. A mixture of light and shade is great, if you can provide it. If you see the leaves yellowing this could be caused by too much sunlight.","This plant does drink a lot of water in the summer. Keeping the soil moist (not over watered) and allowing it to dry slightly near the top is a good idea. If in the winter the soil stays slightly damp for a couple of weeks or more, that’s ok , dont water any more. Your plant will let you know when it needs more.",A peat based potting mix with perlite is ideal or other peat based mixes.,Re-potting each spring is the usual drill.,Feed every 2 weeks with a diluted liquid plant food from spring until fall.,Misting leaves regularly will improve humidity and keep it happy.,"When the plant is being re-potted the main plant can be divided and potted, to grow smaller plants.",,"P. lily, Spathe flower", — Spathiphyllum Wallisii (botanical/scientific).
Mexico and Central America.,Height 18″ (45cm).,Toxic to cats and dogs.,Average temperatures from 65 – 75°F (18 – 24°C) and no less than 55°F (13°C) are fine during the flowering season. Follow the guidelines above on re-flowering after March.,A brightly lit spot near a window is needed. Avoid direct sunlight during summer if your hoping the plant will produce flowers again.,"Watering thoroughly once the soil begins to dry to the touch, is suggested. Watering with distilled or rain water, that’s tepid is advised. Do not allow the plant to sit in water within its tray because this may cause root rot (remove excess water).","If you plan to re-pot after the flowering season then use a potting mix that contains peat moss, perlite and vermiculite or similar.",Re-pot if your plant roots become pot bound in a pot a couple of inches bigger from May – June.,"A balanced fertilizer should be used about once every 4 weeks from February – November, with a balanced liquid solution","Normal room humidity should be fine and mist the the leaves often, during the flowering season.",Propagate the poinsettia plant with stem cuttings at the beginning of summer and use rooting hormone.,,"Poinsettia,", Euphorbia Pulcherrima (botanical/scientific).
China.,10 – 12in tall.,Toxic to cats and dogs.,Cool temperatures of 55 – 65°F (13 – 18°C) are best suited.,"Like many other flowering plants this species enjoys plenty of light, without direct sunlight. It can be tricky to get the right light without the temperature being too high.",During the flowering season keep the soil moist at all times. Not enough water and the plant will begin to wilt.,A peat based potting mix is suggested.,,You will only need to feed these once before flowering and then once while in bloom. Use a diluted balanced liquid fertilizer half the advised strength stated on the label.,"If humidity levels within a room are low increase by placing the plant on a pebble humidity tray, and you can mist the leaves occasionally.",Propagate by sowing seeds during summer time.,,Poison or German primrose, — Pimula obconica (botanical/scientific).
